Date,Day of Wk,SPX Close,Seasonal_rank,NPD 5 SMA,5dt,21dt,200d,Model,NPD,252d FWD%,126d FWD%,63d FWD%,21d FWD%,10d FWD%,5d FWD%,1d FWD%,Day of,VIX,5d FWD VIX,21d FWD VIX
8/22/2016,Monday,2182.64,4,-12,4,4,2050.7395,1,-8.82,12.36,8.26,-0.03,-0.89,0.18,-0.10,0.20,-0.06,12.27,13.21,14.16409091
8/23/2016,Tuesday,2186.9,4,-11,5,5,2051.17435,1,-9.31,11.76,8.09,0.52,-0.44,-0.03,-0.49,-0.52,0.20,12.38,13.358,14.16
8/24/2016,Wednesday,2175.44,2,-10,4,4,2051.55555,1,-9.21,12.11,8.82,1.26,-0.49,0.27,-0.21,-0.14,-0.52,13.45,13.352,14.20772727
8/25/2016,Thursday,2172.47,1,-10,3,4,2052.025,0,-14.91,12.45,9.08,1.48,-1.21,-2.06,-0.07,-0.16,-0.14,13.63,13.322,14.18363636
8/26/2016,Friday,2169.04,2,-11,3,4,2052.4616,1,-12.68,12.69,8.97,2.04,-0.42,-0.46,0.50,0.52,-0.16,13.65,12.988,14.12636364
8/29/2016,Monday,2180.38,2,-11,4,4,2052.9885,1,-11.36,12.20,9.89,0.98,-0.41,-2.45,0.28,-0.20,0.52,12.94,12.804,14.17545455
8/30/2016,Tuesday,2176.12,2,-12,3,4,2053.63925,1,-10.41,12.93,9.46,1.31,-1.15,-2.31,0.46,-0.24,-0.20,13.12,12.568,14.18318182
8/31/2016,Wednesday,2170.95,4,-12,4,5,2054.3788,1,-10.4,13.85,9.77,1.28,-0.12,-1.09,0.48,0.00,-0.24,13.42,12.386,14.19
9/1/2016,Thursday,2170.86,1,-12,4,4,2054.96715,0,-13.13,14.08,9.42,0.93,-0.44,-1.46,-1.98,0.42,0.00,13.48,13.19,14.19681818
9/2/2016,Friday,2179.98,1,-11,5,5,2055.61485,0,-8.73,12.75,8.64,0.55,-1.35,-1.87,-0.96,0.30,0.42,11.98,13.826,14.24272727
9/6/2016,Tuesday,2186.48,3,-10,5,4,2056.12935,1,-8.77,12.76,8.07,0.83,-1.22,-2.14,-2.72,-0.01,0.30,12.02,14.992,14.28
9/7/2016,Wednesday,2186.16,2,-11,5,4,2056.65395,1,-12.23,12.76,8.17,1.19,-1.16,-1.05,-2.76,-0.22,-0.01,11.94,16.232,14.35
9/8/2016,Thursday,2181.3,1,-11,5,4,2057.1146,0,-13.96,12.84,8.77,2.75,-1.26,-0.19,-1.56,-2.45,-0.22,12.51,16.99,14.38954545
9/9/2016,Friday,2127.81,3,-12,1,2,2057.3207,2,-15,16.93,11.55,5.56,1.68,1.73,0.53,1.47,-2.45,17.5,16.564,14.29227273
9/12/2016,Monday,2159.04,1,-13,3,3,2057.6702,0,-13.24,15.63,9.56,4.65,-1.03,-0.60,-0.92,-1.48,1.47,15.16,16.638,14.32636364
9/13/2016,Tuesday,2127.02,1,-14,1,2,2057.86095,1,-16.85,17.46,12.14,6.11,0.57,1.55,0.60,-0.06,-1.48,17.85,16.252,14.27363636
9/14/2016,Wednesday,2125.77,2,-16,1,2,2058.03925,2,-18.98,17.40,12.02,6.87,0.32,2.15,1.76,1.01,-0.06,18.14,15.284,14.18181818
9/15/2016,Thursday,2147.26,0,-16,2,3,2058.3735,0,-13.5,16.44,10.76,4.94,-0.67,0.18,1.39,-0.38,1.01,16.3,14.428,14.17772727
9/16/2016,Friday,2139.16,0,-15,6,2,2058.55615,0,-11.55,17.05,10.95,5.74,-0.59,1.36,1.19,0.00,-0.38,15.37,13.812,14.17363636
9/19/2016,Monday,2139.12,0,-15,3,2,2058.8542,0,-11.74,17.18,9.58,5.56,0.02,1.03,0.33,0.03,0.00,15.53,13.606,14.12272727
9/20/2016,Tuesday,2139.76,0,-15,6,2,2059.3049,0,-17.71,17.22,9.75,5.74,0.21,0.50,0.94,1.09,0.03,15.92,13.042,14.02409091
